Name,Description,Node Assignment
430-TZT-782,Температура подшипника насоса со стороны свободного конца вала Р-4060B,40127-ESD-01-04A
430-XZS-539,Смещение ограждения на соединительной муфте насоса Р-4315A,40127-ESD-01-04A
430-XZS-589,Смещение ограждения на соединительной муфте насоса Р-4315B,40127-ESD-01-04A
430-XZV-007,Клапан отсекатель,40127-ESD-01-04A
430-XZV-043,Клапан отсекатель,40127-ESD-01-04A
430-XZV-061,Клапан отсекатель,40127-ESD-01-04A
430-XZV-087,Клапан отсекатель,40127-ESD-01-04A
500-XZV-031,Клапан отсекатель,40127-ESD-01-04A
500-XZV-083,Клапан отсекатель,40127-ESD-01-04A
500-ZHC-050,Control Module,40127-ESD-01-04A
500-ZHC-067,Управление задвижкой,40127-ESD-01-04A
590-LZT-004,Уровень в емкости V-5910,40127-ESD-01-04A
590-LZT-015,Уровень в емкости V-5920,40127-ESD-01-04A
590-LZT-026,Уровень в емкости V-5930,40127-ESD-01-04A
590-QT-001,Загазованность в укрытии V-5920,40127-ESD-01-04A
590-QT-002,Загазованность в укрытии V-5920,40127-ESD-01-04A
590-SB-002,Опробывание звуковой сигнализации по месту,40127-ESD-01-04A
590-TZT-010,Температура нагревателя H-5912A,40127-ESD-01-04A
590-TZT-021,Температура нагревателя H-5922A,40127-ESD-01-04A
590-TZT-032,Температура нагревателя H-5932A,40127-ESD-01-04A
590-TZT-102,Температура нагревателя H-5912B,40127-ESD-01-04A
590-TZT-105,Температура нагревателя H-5922B,40127-ESD-01-04A
590-TZT-108,Температура нагревателя H-5932B,40127-ESD-01-04A
600-KZ1,Нижний уровень в приемном резервуаре T-6030 (DO),40127-ESD-01-04A
600-KZ2,Верхний уровень в приемном резервуаре T-6030 (DO),40127-ESD-01-04A
600-KZ3,Аварийный уровень в приемном резервуаре T-6030 (DO),40127-ESD-01-04A
600-LZT-035,Уровень в резервуаре T-6030,40127-ESD-01-04A
600-TZT-034,Температура в резервуаре T-6030,40127-ESD-01-04A
620-LZT-004A,Уровень раздела фаз в резервуаре,40127-ESD-01-04A
620-LZT-004В,Уровень раздела фаз в резервуаре,40127-ESD-01-04A
620-NHS-6215A,Аварийный стоп насоса,40127-ESD-01-04A
620-NHS-6215B,Аварийный стоп насоса,40127-ESD-01-04A
620-TZT-011-1,Температура нагревателя H-6212A,40127-ESD-01-04A
620-TZT-011-2,Температура нагревателя H-6212A,40127-ESD-01-04A
620-TZT-011-3,Температура нагревателя H-6212A,40127-ESD-01-04A
620-TZT-011-4,Температура нагревателя H-6212A,40127-ESD-01-04A
620-TZT-011-5,Температура нагревателя H-6212B,40127-ESD-01-04A
620-TZT-011-6,Температура нагревателя H-6212B,40127-ESD-01-04A
620-TZT-011-7,Температура нагревателя H-6212B,40127-ESD-01-04A
620-TZT-011-8,Температура нагревателя H-6212B,40127-ESD-01-04A
620-VE-535,Виброскорость насоса Р-6215А,40127-ESD-01-04A
620-VE-585,Виброскорость насоса Р-6215B,40127-ESD-01-04A
9014-SVODKA,Накопление расходов воды в пласт,40127-ESD-01-04A
9014A-VEZA-ALHE1,Авария обогрева ВК,40127-ESD-01-04A
9014A-VEZA-ALHE2,Авария обогрева ВК,40127-ESD-01-04A
9014A-VEZA-ALHE3,Авария обогрева ВК,40127-ESD-01-04A
9014A-VEZA-ALHE4,Авария обогрева ВК,40127-ESD-01-04A
9014A-VEZA-ALHE5,Авария обогрева ВК,40127-ESD-01-04A
9014A-VEZA-FAN34,Управление Р34-Р34а,40127-ESD-01-04A
9014A-VEZA-FAN36,Управление Р36-Р36а,40127-ESD-01-04A
9014A-VEZA-FIL1,Фильтр запылен P34,40127-ESD-01-04A
9014A-VEZA-FIL2,Фильтр запылен P34a,40127-ESD-01-04A
